temperature,salinity,origin,plate,larvae,settled,unfertilized,undeveloped/abnormal,total,success
16,28,Singapore,4,0,0,12,0,12,0
16,28,Singapore,5,0,0,15,0,15,0
16,28,Singapore,6,0,0,10,0,10,0
16,31,Singapore,1,0,0,8,2,10,0
16,31,Singapore,2,0,0,10,0,10,0
16,31,Singapore,3,0,0,10,0,10,0
16,31,Singapore,4,0,0,12,0,12,0
16,31,Singapore,5,0,0,12,0,12,0
16,31,Singapore,6,0,0,11,0,11,0
16,35,Singapore,1,0,0,9,2,11,0
16,35,Singapore,2,0,0,10,0,10,0
16,35,Singapore,3,0,0,14,0,14,0
16,35,Singapore,4,0,0,11,0,11,0
16,35,Singapore,5,0,0,10,0,10,0
16,35,Singapore,6,0,0,12,0,12,0
16,40,Singapore,1,0,0,11,1,12,0
16,40,Singapore,2,0,0,13,1,14,0
16,40,Singapore,3,0,0,14,0,14,0
16,40,Singapore,4,0,0,12,0,12,0
16,40,Singapore,5,0,0,13,0,13,0
16,40,Singapore,6,0,0,10,0,10,0
31,35,Red,1,0,0,10,0,10,0
31,35,Red,2,0,0,12,0,12,0
31,35,Red,3,0,0,10,1,11,0
31,35,Red,4,0,0,13,0,13,0
31,35,Red,5,0,0,8,3,11,0
31,35,Red,6,0,0,10,0,10,0
31,40,Red,1,0,3,5,2,10,30
31,40,Red,2,0,2,7,2,11,18.18181818
31,40,Red,3,0,2,5,2,9,22.22222222
31,40,Red,4,0,4,7,0,11,36.36363636
31,40,Red,5,0,1,9,0,10,10
31,40,Red,6,0,0,8,2,10,0
31,43,Red,1,0,0,10,0,10,0
31,43,Red,2,0,0,9,1,10,0
31,43,Red,3,0,0,10,0,10,0
31,43,Red,4,0,0,10,0,10,0
31,43,Red,5,0,0,12,0,12,0
31,43,Red,6,0,0,11,0,11,0
25,35,Red,1,1,0,4,5,10,10
25,35,Red,2,0,0,8,2,10,0
25,35,Red,3,0,0,6,4,10,0
25,35,Red,4,0,0,8,3,11,0
25,35,Red,5,0,0,5,5,10,0
25,35,Red,6,0,0,8,2,10,0
25,40,Red,1,8,0,2,0,10,80
25,40,Red,2,8,0,3,1,12,66.66666667
25,40,Red,3,7,2,0,1,10,90
25,40,Red,4,4,2,1,2,9,66.66666667
25,40,Red,5,1,0,10,0,11,9.090909091
25,40,Red,6,6,1,1,1,9,77.77777778
25,43,Red,1,0,0,8,4,12,0
25,43,Red,2,1,0,5,4,10,10
25,43,Red,3,0,0,4,6,10,0
25,43,Red,4,1,0,5,4,10,10
25,43,Red,5,0,0,7,3,10,0
25,43,Red,6,0,0,7,3,10,0
16,35,Red,1,0,0,9,1,10,0
16,35,Red,2,0,0,10,2,12,0
16,35,Red,3,0,0,10,0,10,0
16,35,Red,4,0,0,8,2,10,0
16,35,Red,5,0,0,10,1,11,0
16,35,Red,6,0,0,10,0,10,0
16,40,Red,1,0,0,8,2,10,0
16,40,Red,2,0,0,7,3,10,0
16,40,Red,3,0,0,12,0,12,0
16,40,Red,4,0,0,10,0,10,0
16,40,Red,5,0,0,10,0,10,0
16,40,Red,6,0,0,10,0,10,0
16,43,Red,1,0,0,10,0,10,0
16,43,Red,2,0,0,9,1,10,0
16,43,Red,3,0,0,10,0,10,0
16,43,Red,4,0,0,10,0,10,0
16,43,Red,5,0,0,10,0,10,0
16,43,Red,6,0,0,8,2,10,0
31,35,Med,1,4,3,1,3,11,63.63636364
31,35,Med,2,1,0,2,7,10,10
31,35,Med,3,6,1,1,2,10,70
31,35,Med,4,2,0,1,7,10,20
31,35,Med,5,1,1,3,6,11,18.18181818
31,35,Med,6,2,0,5,3,10,20
31,40,Med,1,3,1,2,5,11,36.36363636
31,40,Med,2,1,3,2,7,13,30.76923077
31,40,Med,3,4,3,1,2,10,70
31,40,Med,4,2,3,2,3,10,50
31,40,Med,5,6,4,0,1,11,90.90909091
31,40,Med,6,1,2,2,6,11,27.27272727
31,43,Med,1,0,0,8,3,11,0
31,43,Med,2,0,1,4,6,11,9.090909091
31,43,Med,3,0,0,8,2,10,0
31,43,Med,4,0,0,3,7,10,0
31,43,Med,5,0,0,8,2,10,0
31,43,Med,6,0,1,6,3,10,10
25,35,Med,1,0,0,3,7,10,0
25,35,Med,2,4,0,2,4,10,40
25,35,Med,3,5,1,1,9,16,37.5
25,35,Med,4,5,0,2,6,13,38.46153846
25,35,Med,5,3,0,1,6,10,30
25,35,Med,6,4,0,3,3,10,40
25,40,Med,1,4,1,0,6,11,45.45454545
25,40,Med,2,6,0,0,4,10,60
25,40,Med,3,3,0,2,5,10,30
25,40,Med,4,3,1,0,6,10,40
25,40,Med,5,2,2,2,4,10,40
25,40,Med,6,3,2,0,6,11,45.45454545
25,43,Med,1,0,0,7,3,10,0
25,43,Med,2,1,0,7,4,12,8.333333333
25,43,Med,3,0,0,2,8,10,0
25,43,Med,4,0,0,7,3,10,0
25,43,Med,5,0,0,4,6,10,0
25,43,Med,6,0,0,3,7,10,0
16,35,Med,1,0,0,8,2,10,0
16,35,Med,2,0,0,8,2,10,0
16,35,Med,3,0,0,10,0,10,0
16,35,Med,4,0,0,7,3,10,0
16,35,Med,5,0,0,6,4,10,0
16,35,Med,6,0,0,7,3,10,0
16,40,Med,1,0,0,5,5,10,0
16,40,Med,2,0,0,2,8,10,0
16,40,Med,3,0,0,4,6,10,0
16,40,Med,4,0,0,6,4,10,0
16,40,Med,5,0,0,3,7,10,0
16,40,Med,6,0,0,5,6,11,0
16,43,Med,1,0,0,6,4,10,0
16,43,Med,2,0,0,10,1,11,0
16,43,Med,3,0,0,8,2,10,0
16,43,Med,4,0,0,6,4,10,0
16,43,Med,5,0,0,8,2,10,0
16,43,Med,6,0,0,9,1,10,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
